Duke Class Name,Duke Class Code,Duke Description,Cornell Class Name,Cornell Class Code
Intermediate Modern Hebrew,HEBREW 203,"Speaking, understanding, reading, and writing Modern Hebrew at the intermediate level; exploring Israeli culture through texts and other media.",Intermediate Modern Hebrew,HEBRW 2100
History of Latinxs in the United States,HISTORY 122,"This introductory course will cover the social, cultural, and political histories of Latino/as in the United States from 1848 to the present including the Treaty of Guadalupe Hidalgo, the Great Depression, WWI/WWII, the creation of Latino/a civil rights organizations, and the civil wars and free trade agreements of the 1980s and 1990s that have spurned so much of contemporary migration. Themes include colonialism and conquest, sexuality and gender, race and ethnicity, transnationalism and migration, social inequality and practices of resistance. This class will highlight the diversity of the Latino/a experience—focusing on the history of Afro-Latino/as, queer Latino/as, and undocumented Latino/as.",Introduction to Latinos in U.S. History,HIST 1802
The Modern Caribbean after Emancipation,HISTORY 321,"
Focus on the Caribbean region as it transitioned from a collection of slave and colonial societies into a region of postcolonial and independent nations. Topics may include: postemancipation political and cultural struggles, pan-Africanism and Rastafarianism, nationalist and anticolonial movements, American economic and political influence in the region, Caribbean emigration to Europe and the United States, and global spread of Caribbean culture.",Modern Caribbean History,HIST 2541
North American Environmental History, HISTORY 345,"Historical roles of nature—as a cultural construct and a set of biological relationships—in shaping human choices in North America, from colonial times to the present. Special attention to historical origins of contemporary environmental politics, including the origins of wilderness; environmental justice movements; the changing politics of food, animal rights, and pollution; and tragedies of the commons, and the ethical challenges posed by global warming and population growth.",Environmental History,HIST 2581
Roman History,HISTORY 233,"From the founding of Rome by Romulus to the founding of Constantinople by Constantine: social, cultural, and political history. ",Roman History,HIST 2689
The Viking Age,HIST 2689,"The history of Viking raiding, trading, exploration, and settlement, with attention to the socioeconomic structure, political organization, and naval technology of medieval Scandinavian societies. Focus on topics such as Norse mythology, ritual, and runes, Icelandic sagas, gender roles and social hierarchies in a warrior society, clan-based justice, and the collision between 'heroic' values and the new Christian ethic. Taught in English.",The Viking Age,HIST 3200
Italian Cinema,ITALIAN 380,"
Introduction course to Italian cinema including silent films, Neorealism, fascist productions, Commedia all'italiana and experimentalism. Taught in English.",Art History: Italian Cinema,ART 3803
"
Italian Baroque Art",ITALIAN 256,"This course will trace the development of the Italian baroque in architecture, sculpture and painting. It will consider a variety of themes relevant to Baroque artistic production, including religious influences on the art of the period, namely the Reformation and the Catholic Counter Reformation; economic influences; central versus peripheral locations; issues of gender and sexuality; patronage; architectural site and meaning; urban planning and transformation; the artist, his workshop and rivalries; decoding the myths of artistic genius; and seventeenth-century primary sources.","Urban Design, Architecture, and Art in Renaissance and Baroque Rome",ARCH 3823
Judaism,JEWISHST 140,Introduction to Judaic civilization from its origins to modern times.,Introduction to Judaism,JWST 2644
"
Advanced Modern Hebrew",JEWISHST 305S,"Speaking, understanding, reading, and writing Modern Hebrew at the advanced level; exploring Israeli culture through critical reading of literary texts (prose and poetry) and other contemporary media.",Advanced Modern Hebrew II,HEBRW 3102
Intermediate Japanese,JPN 203,"Continued development of the four language skills: listening, speaking, reading and writing. Cultural component emphasized through short readings.",Intermediate Japanese II,JAPAN 2202
Introduction to Linguistics,LINGUIST 201,"Introduction to the scientific study of linguistics and languages. Topics include the origin and nature of language, methods of historical and comparative linguistics, theories and schools of linguistics, empirical and descriptive approaches to the study of language, including phonology, morphology, semantics, and syntax.",Introduction to Linguistics,LING 1101
Introduction to African American Studies,LIT 102,"A range of disciplinary perspectives on key topics in African American Studies: slavery and abolitionism, theories of race and racism, gender and race, the era of Jim Crow, cultural expressions, political and intellectual thought, African American freedom struggles from the seventeenth through the twentieth centuries, and race and public policy.",Introduction to African American Literature,AMST 2650
The Art of Proof,MATH 185,"This course is an introduction to mathematical proofs as a creative endeavor. The intended audience of this course are students who would not normally take Math 245. Students in the arts, humanities, life sciences, and social sciences are encouraged to enroll. Students will learn problem solving, abstraction, symbolic logic; proof by construction, induction, contradiction; and basic set theory, number theory, and combinatorics. The course will be highly interactive, with emphasis placed on group learning. Students will practice communicating mathematical and logical arguments in both written (using LaTeX) and oral (via board talk) forms.",Prove It!,MATH 3040
Multivariable Calculus,MATH 212,"Partial differentiation, multiple integrals, and topics in differential and integral vector calculus, including Green's theorem, the divergence theorem, and Stokes's theorem. Taught in Beaufort at Duke Marine Lab.",Multivariable Calculus,MATH 2220
Complex Analysis,MATH 333,"Complex numbers, analytic functions, complex integration, Taylor and Laurent series, theory of residues, argument and maximum principles, conformal mapping. ",Complex Analysis,MATH 4180
Introduction to Abstract Algebra, MATH 401,"Groups, rings, and fields.",Abstract Algebra,MATH 3340
Advanced Linear Algebra,MATH 403,"Topics in linear algebra beyond those in a first course. For example: principal component analysis and other decompositions (singular value, Cholesky, etc.); Perron-Frobenius theory; positive semi-definite matrices; linear programming and more general convexity and optimization; basic simplicial topology; Gerschgorin theory; classical matrix groups. Applications to computer science, statistics, image processing, economics, or other fields of mathematics and science. ",Linear Algebra,MATH 4310
Introduction to Partial Differential Equations,MATH 453,"Heat, wave, and potential equations: scientific context, derivation, techniques of solution, and qualitative properties. Topics to include Fourier series and transforms, eigenvalue problems, maximum principles, Green's functions, and characteristics. ",Introduction to Partial Differential Equations,MATH 4280
"History of Rock: Rhythm & Blues and Rock & Roll to Indie Rock and Hip-Hop
",MUSIC 143,"The history of rock music from the 1950s to the present. Beginning with its roots in rhythm and blues, country and western, and commercial pop, examination of diverse musical styles, artists and bands, and the many historical, technological, and cultural factors that have contributed to the rise and popularity of rock music.",History of Rock Music,MUSIC 1312
Introduction to Philosophy,PHIL 101,Examination of problems in philosophy; emphasis on metaphysics and theory of knowledge.,Introduction to Philosophy,PHIL 1100
"Introductory Electricity, Magnetism, and Optics",PHYSICS 152L,"Intended principally for students in engineering and the physical sciences. Topics include: electric charge, electric fields, Gauss's Law, potential, capacitance, electrical current, resistance, circuit concepts, magnetic fields, magnetic and electric forces, Ampere's Law, magnetic induction, Faraday's Law, inductance, Maxwell's Equations, electromagnetic waves, elementary geometric optics, wave interference, and diffraction.",Physics II: Electricity and Magnetism,PHYS 2217
Developmental Psychology: Introduction and Survey,PSY 103,"Overview of the cognitive, social, and emotional changes that occur throughout the lifespan, with emphasis on the period from infancy to adolescence. Examines both the empirical evidence (data collection and analysis) and the theoretical models (constructs using inductive-deductive reasoning) used in understanding human psychological development.",Developmental Psychology,PSYCH 2090
Social Inequality,SOCIOL 211,"The nature, forms, and socioeconomic bases of inequality. Age, gender, race, ethnicity, class, region, and family as dimensions of inequality. Variations in the structure of inequality over time and across nations. How educational institutions, economic development, work institutions, and state welfare programs affect the shape of inequality. Social inequality and social mobility.",Social Inequality,SOC 2208
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
